"name","rank","centrality_score"
"Lila Mitchell Ivey Lane Neighborhood Center for Families",1,2
"Callahan Neighborhood Center",2,0
"Wadeview Community Center",3,0
"Blue Jacket Park",4,0
"Southeast Branch Library",5,0
