"name","rank","centrality_score"
"Lila Mitchell Ivey Lane Neighborhood Center for Families",1,1
"Callahan Neighborhood Center",2,0.999216
"Wadeview Community Center",3,0.999216
"Blue Jacket Park",4,0.999216
"Southeast Branch Library",5,0.999216
