,Callahan Neighborhood Center,Colonialtown Neighborhood Center,Mayor Carl T. Langford Neighborhood Center,College Park Neighborhood Center,Grand Avenue Neighborhood Center,John H. Jackson Neighborhood Center,Holden Heights Community Center,Dr. James R. Smith Neighborhood Center,Rock Lake Neighborhood Center,Wadeview Community Center,Engelwood Neighborhood Center,Northwest Neighborhood Center,Pine Hills Community Center,Rosemont Community Center,Pine Hills Neighborhood Center for Families,Oak Ridge Neighborhood Center,Dover Shores Community Center,Orlo Vista Park,Meadow Woods Recreation Center,South Econ Community Park,Big Hawk Recreation Center,Downtown Recreation Complex,Silver Star Recreation Center,Orlando Magic Recreation Center,Blue Jacket Park,Cypress Grove Park,Lake Lorna Doone Park,Lake Underhill Park,Eagle Nest Park,George Barker Park,Gilbert McQueen Park,Gaston Edwards Park,Lila Mitchell Ivey Lane Neighborhood Center for Families,Ivey Lane Park,South Trail Branch Library,Washington Park Branch Library,Southeast Branch Library,Fairview Shores Branch Library,Chickasaw Branch Library,Southwest Branch Library,Ocoee Lakeshore Center,Eastmonte Park,Westmonte Park,John Bridges Community Center,Winter Springs Civic Center,Lake Mary Community Center,Denton Johnson Community Center,Minnehaha Park,Maitland Senior Center,Oviedo Recreation & Parks,Winter Park Community Center,Azalea Lane Recreation Center
Lila Mitchell Ivey Lane Neighborhood Center for Families,5.0042,0.0,0.0,0.0,4.3047,4.5102,4.2503,1.8645,4.4229,0.0,0.0,4.2253,4.1168,0.0,5.0434,0.0,0.0,2.4041,0.0,0.0,0.0,5.2169,6.522,0.0,0.0,0.0,3.8442,0.0,2.4109,3.6534,2.344,0.0,0.0,2.7811,5.5768,0.0188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivey Lane Park,3.198,5.7284,5.7985,5.4608,4.007,3.2027,3.9526,2.6178,2.6167,5.932,0.0,1.5696,3.6515,5.6396,3.559,0.0,0.0,2.3787,0.0,0.0,0.0,3.4107,6.0567,0.0,0.0,0.0,2.6756,0.0,3.7852,3.4029,2.9396,4.9863,2.9139,0.0,5.6787,2.8991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Trail Branch Library,4.3047,6.7993,5.6132,0.0,2.886,3.2147,2.2561,3.6605,4.7325,4.0442,0.0,6.5789,0.0,0.0,0.0,4.0283,0.0,0.0,0.0,0.0,0.0,5.3422,0.0,0.0,0.0,1.6036,3.8306,0.0,4.9964,3.2656,4.3886,6.0573,5.5784,6.0959,0.0,5.5636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington Park Branch Library,4.9854,0.0,0.0,0.0,4.2858,4.4914,4.2315,1.8458,4.4042,0.0,0.0,4.2065,4.098,0.0,5.0246,0.0,0.0,2.3853,0.0,0.0,0.0,5.1981,6.5032,0.0,0.0,0.0,3.8255,0.0,2.392,3.6346,2.3252,0.0,0.1613,2.7622,5.558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southeast Branch Library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6263,4.0433,0.0,0.0,0.0,0.0,6.8279,4.2269,0.0,0.0,6.3613,0.0,0.0,0.0,0.0,0.0,6.13,0.0,5.6081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fairview Shores Branch Library,5.6566,4.8693,0.0,4.09,0.0,0.0,0.0,0.0,5.7997,0.0,0.0,5.39,0.0,3.6783,5.6039,0.0,0.0,0.0,0.0,0.0,0.0,5.5012,0.0,0.0,5.2715,0.0,6.6785,0.0,0.0,0.0,6.7761,4.2681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9665,6.306,0.0,0.0,0.0,2.4016,3.9948,3.4369,0.0,3.1301,3.4024
Chickasaw Branch Library,0.0,0.0,5.9649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4277,0.0,0.0,0.0,0.0,0.0,4.8098,0.0,0.0,5.8316,0.0,0.0,0.0,4.6438,6.339,0.0,0.0,4.3599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southwest Branch Library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ocoee Lakeshore Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0784,0.0,6.2365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eastmonte Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1823,0.0,0.0,0.0,0.0,4.1764,0.0,5.8371,0.0,4.4682,3.3762,3.1357,0.0,5.4292,5.868
