name,zip_code,address,lat,lon,bus_stop_count,Orlando_Zip_Data_Clean_Median_Income,Orlando_Zip_Data_Clean_Population_Size,Orlando_Zip_Data_Clean_Pop_Density_per_sqmi,FL_FoodDesert_Scored_v2_food_desert_score
Fran Carlton Recreation Center,"32703","11 N Forest Ave, Apopka, FL 32703",28.678093,-81.507333,8,"72880","54805",1707.16,"2"
Hope CommUnity Center,"32703","800 S Hawthorne Ave, Apopka, FL 32703",28.6682934,-81.5187005,1,"72880","54805",1707.16,"0"
Winter Springs Civic Center,"32708","400 N Edgemon Ave, Winter Springs, FL 32708",28.705219,-81.307198,0,"93628","47045",2542.84,"0"
Westmonte Park,"32714","624 Bills Ln, Altamonte Springs, FL 32714",28.652241,-81.408157,0,"70955","38049",4483.74,"0"
Lake Mary Parks & Recreation,"32746","140 E Wilbur Ave, Lake Mary, FL 32746",28.759971,-81.3241171,0,"104775","45828",2175.76,"0"
J. Douglas Williams YMCA Family Center,"32746","665 Longwood Lake Mary Rd, Lake Mary, FL 32746",28.752394,-81.3351716,0,"104775","45828",2175.76,"0"
Hill Recreation Center,"32751","300 Sybelia Ave, Maitland, FL 32751",28.631124,-81.367846,0,"95387","23230",3309.59,"0"
Denton Johnson Community Center,"32751","400 Ruffel St, Eatonville, FL 32751",28.614823,-81.378625,0,"95387","23230",3309.59,"2"
Maitland Community Park,"32751","1400 Mayo Ave, Maitland, FL 32751",28.637819,-81.353027,0,"95387","23230",3309.59,"0"
Minnehaha Park,"32751","1011 E Horatio Ave, Maitland, FL 32751",28.627441,-81.357419,0,"95387","23230",3309.59,"0"
Shalom Orlando Roth JCC,"32751","851 N Maitland Ave, Maitland, FL 32751",28.634435,-81.365722,2,"95387","23230",3309.59,"0"
Maitland Senior Center,"32751","345 Maitland Ave S, Maitland, FL 32751",28.625496,-81.365682,6,"95387","23230",3309.59,"0"
Oviedo Recreation & Parks,"32765","148 Oviedo Blvd, Oviedo, FL 32765",28.6657302,-81.2029651,0,"102167","65228",1671.74,"0"
Westside Community Center / Boys And Girls Center,"32771","919 S Persimmon Ave, Sanford, FL 32771",28.804014,-81.288813,0,"77868","57178",1525.4,"2"
Jeff Triplet Community Center,"32771","1211 Mellonville Ave, Sanford, FL 32771",28.8025555,-81.2554545,0,"77868","57178",1525.4,"0"
Midway Community Center,"32771","2251 Jitway Ave, Sanford, FL 32771",28.789877,-81.227882,0,"77868","57178",1525.4,"0"
Sanford Civic Center,"32771","401 E Seminole Blvd, Sanford, FL 32771",28.813525,-81.264883,0,"77868","57178",1525.4,"0"
Winter Park Community Center,"32789","721 W New England Ave, Winter Park, FL 32789",28.595848083496,-81.3587951660156,10,"106671","26399",3384.05,"0"
Azalea Lane Recreation Center,"32789","1045 Azalea Ln, Winter Park, FL 32789",28.5882455,-81.3593046,3,"106671","26399",3384.05,"0"
Center for Health and Wellbeing,"32792","2005 Mizell Ave #800, Winter Park, FL 32792",28.5958478,-81.3254646,5,"69200","51376",4240.69,"0"
