"name","rank","centrality_score"
"Community Empowerment Center Inc",1,0.610633
"Callahan Neighborhood Center",2,0.603728
"Maitland Community Park",3,0.601534
"Hunt Club Pediatrics",4,0.600378
"Eastmonte Park",5,0.599473
