"name","rank","centrality_score"
"Community Health Centers",1,0.999504
"Community Health Centers Apopka",2,0.999504
"Callahan Neighborhood Center",3,0.998512
"Wadeview Community Center",4,0.998512
"Orange Tree Recreation Center",5,0.998512
