origin_node_id,dest_node_id,origin_cc_name,dest_cc_name,route_number,route_name,line_id,origin_stop_name,origin_stop_id,origin_stop_lat,origin_stop_lon,walk_to_stop_miles,dest_stop_name,dest_stop_id,dest_stop_lat,dest_stop_lon,walk_from_stop_miles,cc_to_cc_distance_miles,total_trip_miles
CC_014,CC_016,Rosemont Community Center,Thrift Shop Community Center,9,WINTER PARK/ROSEMONT,16832,ROSE BAY DR AND LANDING DR,3324,28.598057,-81.439211,0.241,CINDERLN PKY AND ROSEWOOD WAY,3314,28.607314,-81.429947,0.238,1.02,1.5
CC_014,CC_061,Rosemont Community Center,Winter Park Community Center,9,WINTER PARK/ROSEMONT,16832,ROSE BAY DR AND LANDING DR,3324,28.598057,-81.439211,0.241,S DENNING DR AND W COMSTOCK AVE,3210,28.593643,-81.360873,0.209,5.6,6.05
CC_016,CC_061,Thrift Shop Community Center,Winter Park Community Center,9,WINTER PARK/ROSEMONT,16832,CINDERLN PKY AND ROSEWOOD WAY,3314,28.607314,-81.429947,0.238,S DENNING DR AND W COMSTOCK AVE,3210,28.593643,-81.360873,0.209,4.81,5.26
CC_017,CC_040,Community Empowerment Center Inc,Apopka Community Center,106,N. U.S. 441/APOPKA,16838,N ORANGE BLOSSOM TRL AND MOTT AVE,1766,28.616046,-81.437401,0.026,S CENTRAL AVE AND M A BROAD ST,10118,28.670229,-81.511052,0.082,6.33,6.44
CC_017,CC_042,Community Empowerment Center Inc,Community Health Centers Apopka,106,N. U.S. 441/APOPKA,16838,N ORANGE BLOSSOM TRL AND MOTT AVE,1766,28.616046,-81.437401,0.026,E MAIN ST AND S HIGHLAND AVE,2985,28.673211,-81.506304,0.237,6.03,6.29
CC_018,CC_061,Arab American Community Center,Winter Park Community Center,43,WINTER PARK/PINE HILLS,16876,LEE RD AND PALACE CT,1899,28.605689,-81.396068,0.149,W MORSE BLVD AND S PENNSYLVANIA AVE,3150,28.597599,-81.357424,0.153,2.57,2.87
CC_039,CC_040,Hunt Club Pediatrics,Apopka Community Center,113,S.R. 436/FERNWOOD/APOPKA,16911,E SR 436 AND S HUNT CLUB BLVD,1121,28.670237,-81.452489,0.24,S CENTRAL AVE AND M A BROAD ST,5764,28.670225,-81.511103,0.083,4.26,4.58
CC_040,CC_042,Apopka Community Center,Community Health Centers Apopka,106,N. U.S. 441/APOPKA,16838,S CENTRAL AVE AND M A BROAD ST,10118,28.670229,-81.511052,0.082,E MAIN ST AND S HIGHLAND AVE,2985,28.673211,-81.506304,0.237,0.31,0.63
CC_040,CC_044,Apopka Community Center,Fran Carlton Recreation Center,405,APOPKA CIRCULATOR,16871,S CENTRAL AVE AND M A BROAD ST,10122,28.670027,-81.510832,0.097,N PARK AVE AND E OAK ST,3001,28.681055,-81.509328,0.246,0.53,0.87
CC_040,CC_045,Apopka Community Center,Hope CommUnity Center,405,APOPKA CIRCULATOR,16871,S CENTRAL AVE AND M A BROAD ST,10122,28.670027,-81.510832,0.097,S HAWTHORNE AVE AND W 10TH ST,2990,28.665405,-81.517662,0.212,0.57,0.88
CC_040,CC_043,Apopka Community Center,Community Health Centers,44,HIAWASSEE RD/APOPKA/ZELLWOOD,16878,S CENTRAL AVE AND M A BROAD ST,10121,28.670134,-81.511021,0.089,S PARK AVE AND E 8TH ST,2988,28.66796,-81.509504,0.191,0.3,0.58
CC_040,CC_042,Apopka Community Center,Community Health Centers Apopka,44,HIAWASSEE RD/APOPKA/ZELLWOOD,16878,S CENTRAL AVE AND M A BROAD ST,10121,28.670134,-81.511021,0.089,S PARK AVE AND E 8TH ST,2988,28.66796,-81.509504,0.225,0.31,0.62
CC_040,CC_044,Apopka Community Center,Fran Carlton Recreation Center,44,HIAWASSEE RD/APOPKA/ZELLWOOD,16878,S CENTRAL AVE AND M A BROAD ST,10121,28.670134,-81.511021,0.089,S PARK AVE AND E 2ND ST,2999,28.675819,-81.50933,0.209,0.53,0.83
CC_043,CC_042,Community Health Centers,Community Health Centers Apopka,44,HIAWASSEE RD/APOPKA/ZELLWOOD,16878,S PARK AVE AND E 8TH ST,2988,28.66796,-81.509504,0.191,S PARK AVE AND E 8TH ST,2988,28.66796,-81.509504,0.225,0.04,0.46
CC_043,CC_044,Community Health Centers,Fran Carlton Recreation Center,44,HIAWASSEE RD/APOPKA/ZELLWOOD,16878,S PARK AVE AND E 8TH ST,2988,28.66796,-81.509504,0.191,S PARK AVE AND E 2ND ST,2999,28.675819,-81.50933,0.209,0.6,1
CC_042,CC_044,Community Health Centers Apopka,Fran Carlton Recreation Center,44,HIAWASSEE RD/APOPKA/ZELLWOOD,16878,S PARK AVE AND E 8TH ST,2988,28.66796,-81.509504,0.225,S PARK AVE AND E 2ND ST,2999,28.675819,-81.50933,0.209,0.57,1
CC_044,CC_045,Fran Carlton Recreation Center,Hope CommUnity Center,405,APOPKA CIRCULATOR,16871,N PARK AVE AND E OAK ST,3001,28.681055,-81.509328,0.246,S HAWTHORNE AVE AND W 10TH ST,2990,28.665405,-81.517662,0.212,1.04,1.5
CC_055,CC_062,Maitland Senior Center,Azalea Lane Recreation Center,102,ORANGE AVE/S. U.S. 17-92,16909,S ORLANDO AVE AND E PACKWOOD AVE,3083,28.624929,-81.36335,0.166,ORANGE AVE AND MINNESOTA AVE,3157,28.589155,-81.361298,0.151,2.61,2.93
